group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
load_bridge,,,,,59495000.0,ns,3
load_bridge,,,,,57965084.0,ns,3
load_bridge,,,,,59668417.0,ns,3
load_bridge,,,,,58699916.0,ns,3
load_bridge,,,,,57007459.0,ns,3
load_bridge,,,,,57301458.0,ns,3
load_bridge,,,,,57172542.0,ns,3
load_bridge,,,,,57571875.0,ns,3
load_bridge,,,,,57038542.0,ns,3
load_bridge,,,,,57072500.0,ns,3
load_bridge,,,,,57118916.0,ns,3
load_bridge,,,,,56339042.0,ns,3
load_bridge,,,,,56372625.0,ns,3
load_bridge,,,,,55601334.0,ns,3
load_bridge,,,,,55804625.0,ns,3
load_bridge,,,,,55627875.0,ns,3
load_bridge,,,,,57134041.0,ns,3
load_bridge,,,,,56522166.0,ns,3
load_bridge,,,,,55524125.0,ns,3
load_bridge,,,,,58756334.0,ns,3
load_bridge,,,,,55977250.0,ns,3
load_bridge,,,,,59374041.0,ns,3
load_bridge,,,,,56756625.0,ns,3
load_bridge,,,,,56721584.0,ns,3
load_bridge,,,,,55455042.0,ns,3
load_bridge,,,,,55773500.0,ns,3
load_bridge,,,,,56721500.0,ns,3
load_bridge,,,,,57755666.0,ns,3
load_bridge,,,,,56987667.0,ns,3
load_bridge,,,,,57483708.0,ns,3
load_bridge,,,,,57724959.0,ns,3
load_bridge,,,,,56891916.0,ns,3
load_bridge,,,,,56584125.0,ns,3
load_bridge,,,,,58851250.0,ns,3
load_bridge,,,,,60496917.0,ns,3
load_bridge,,,,,56710167.0,ns,3
load_bridge,,,,,58113167.0,ns,3
load_bridge,,,,,58606375.0,ns,3
load_bridge,,,,,60241292.0,ns,3
load_bridge,,,,,58021334.0,ns,3
load_bridge,,,,,60466583.0,ns,3
load_bridge,,,,,61502416.0,ns,3
load_bridge,,,,,67030709.0,ns,3
load_bridge,,,,,62072167.0,ns,3
load_bridge,,,,,57241375.0,ns,3
load_bridge,,,,,59664125.0,ns,3
load_bridge,,,,,55836500.0,ns,3
load_bridge,,,,,59233000.0,ns,3
load_bridge,,,,,57227583.0,ns,3
load_bridge,,,,,59931750.0,ns,3
load_bridge,,,,,58113750.0,ns,3
load_bridge,,,,,60489334.0,ns,3
load_bridge,,,,,99151375.0,ns,3
load_bridge,,,,,59676750.0,ns,3
load_bridge,,,,,55997667.0,ns,3
load_bridge,,,,,57320416.0,ns,3
load_bridge,,,,,56372375.0,ns,3
load_bridge,,,,,59887250.0,ns,3
load_bridge,,,,,59125750.0,ns,3
load_bridge,,,,,60303916.0,ns,3
load_bridge,,,,,60602084.0,ns,3
load_bridge,,,,,62955208.0,ns,3
load_bridge,,,,,58108791.0,ns,3
load_bridge,,,,,59387125.0,ns,3
load_bridge,,,,,55651041.0,ns,3
load_bridge,,,,,58195375.0,ns,3
load_bridge,,,,,55942375.0,ns,3
load_bridge,,,,,60657500.0,ns,3
load_bridge,,,,,59321958.0,ns,3
load_bridge,,,,,59550166.0,ns,3
load_bridge,,,,,57060542.0,ns,3
load_bridge,,,,,57523333.0,ns,3
load_bridge,,,,,57009833.0,ns,3
load_bridge,,,,,57390291.0,ns,3
load_bridge,,,,,57372250.0,ns,3
load_bridge,,,,,59406875.0,ns,3
load_bridge,,,,,59576167.0,ns,3
load_bridge,,,,,57706042.0,ns,3
load_bridge,,,,,61007500.0,ns,3
load_bridge,,,,,58685916.0,ns,3
load_bridge,,,,,56962125.0,ns,3
load_bridge,,,,,59172708.0,ns,3
load_bridge,,,,,57656083.0,ns,3
load_bridge,,,,,56782541.0,ns,3
load_bridge,,,,,55589666.0,ns,3
load_bridge,,,,,58476583.0,ns,3
load_bridge,,,,,57143750.0,ns,3
load_bridge,,,,,59076375.0,ns,3
load_bridge,,,,,58386417.0,ns,3
load_bridge,,,,,56647208.0,ns,3
load_bridge,,,,,55620542.0,ns,3
load_bridge,,,,,58478000.0,ns,3
load_bridge,,,,,58523791.0,ns,3
load_bridge,,,,,57965291.0,ns,3
load_bridge,,,,,59463208.0,ns,3
load_bridge,,,,,56291625.0,ns,3
load_bridge,,,,,57159958.0,ns,3
load_bridge,,,,,58084291.0,ns,3
load_bridge,,,,,56670375.0,ns,3
load_bridge,,,,,57810708.0,ns,3
